Age	Weight	Healthy
17	51	No
16	62	Yes
37	45	No
56	56	Yes
60	80	Yes
37	75	Yes
89	17	Yes
72	42	Yes
90	15	No
74	29	No
17	51	No
79	85	Yes
5	2	No
100	56	Yes
21	92	Yes
68	89	Yes
74	17	No
36	73	No
97	27	No
71	12	Yes
40	86	No
71	11	No
79	39	Yes
70	64	Yes
74	26	Yes
31	57	No
5	91	Yes
7	1	No
83	32	Yes
41	48	Yes
5	2	No
42	15	Yes
51	57	No
60	94	Yes
73	6	Yes
40	86	No
68	30	No
56	40	No
96	87	Yes
98	5	Yes
65	100	Yes
32	69	Yes
73	52	No
12	77	No
53	32	No
76	58	Yes
50	68	No
31	4	No
67	42	Yes
91	57	Yes
97	63	Yes
29	18	No
51	45	No
87	42	Yes
10	94	No
50	8	No
51	31	Yes
55	43	No
95	96	Yes
33	98	Yes
33	53	No
12	47	No
23	60	Yes
65	96	No
43	84	Yes
1	1	Yes
52	90	Yes
74	2	Yes
31	43	No
36	45	No
4	63	No
17	93	Yes
88	59	Yes
42	13	No
22	18	No
20	32	No
29	23	No
55	14	Yes
10	17	Yes
95	82	Yes
56	20	No
80	100	Yes
19	91	Yes
14	32	Yes
46	72	Yes
84	70	No
73	60	No
8	57	Yes
83	35	No
59	72	Yes
21	99	No
22	67	Yes
36	98	Yes
99	15	No
15	55	No
56	3	Yes
99	61	Yes
64	15	No
46	84	Yes
19	48	Yes
